Product code,Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m)
IDCJAC0016,061428,2017,05,12,9.3
IDCJAC0016,061428,2017,05,13,10.9
IDCJAC0016,061428,2017,05,14,6.5
IDCJAC0016,061428,2017,05,15,9.8
IDCJAC0016,061428,2017,05,16,13.1
IDCJAC0016,061428,2017,05,17,12.9
IDCJAC0016,061428,2017,05,18,11.7
IDCJAC0016,061428,2017,05,19,4.3
IDCJAC0016,061428,2017,05,20,11.3
IDCJAC0016,061428,2017,05,21,11.6
IDCJAC0016,061428,2017,05,22,9.3
IDCJAC0016,061428,2017,05,23,11.2
IDCJAC0016,061428,2017,05,24,12.4
IDCJAC0016,061428,2017,05,25,12.3
IDCJAC0016,061428,2017,05,26,12.3
IDCJAC0016,061428,2017,05,27,12.2
IDCJAC0016,061428,2017,05,28,11.3
IDCJAC0016,061428,2017,05,29,12.1
IDCJAC0016,061428,2017,05,30,11.9
IDCJAC0016,061428,2017,05,31,10.3
IDCJAC0016,061428,2017,06,01,11.5
IDCJAC0016,061428,2017,06,02,10.6
IDCJAC0016,061428,2017,06,03,6.3
IDCJAC0016,061428,2017,06,04,7.9
IDCJAC0016,061428,2017,06,05,11.4
IDCJAC0016,061428,2017,06,06,11.0
IDCJAC0016,061428,2017,06,07,3.8
IDCJAC0016,061428,2017,06,08,5.3
IDCJAC0016,061428,2017,06,09,4.5
IDCJAC0016,061428,2017,06,10,6.9
IDCJAC0016,061428,2017,06,11,7.7
IDCJAC0016,061428,2017,06,12,10.4
IDCJAC0016,061428,2017,06,13,7.8
IDCJAC0016,061428,2017,06,14,7.3
IDCJAC0016,061428,2017,06,15,10.0
IDCJAC0016,061428,2017,06,16,8.4
IDCJAC0016,061428,2017,06,17,6.6
IDCJAC0016,061428,2017,06,18,6.3
IDCJAC0016,061428,2017,06,19,9.3
IDCJAC0016,061428,2017,06,20,8.9
IDCJAC0016,061428,2017,06,21,11.0
IDCJAC0016,061428,2017,06,22,10.8
IDCJAC0016,061428,2017,06,23,7.6
IDCJAC0016,061428,2017,06,24,11.4
IDCJAC0016,061428,2017,06,25,11.4
IDCJAC0016,061428,2017,06,26,11.5
IDCJAC0016,061428,2017,06,27,9.9
IDCJAC0016,061428,2017,06,28,4.0
IDCJAC0016,061428,2017,06,29,3.8
IDCJAC0016,061428,2017,06,30,11.6
IDCJAC0016,061428,2017,07,01,11.6
IDCJAC0016,061428,2017,07,02,11.7
IDCJAC0016,061428,2017,07,03,10.8
IDCJAC0016,061428,2017,07,04,11.7
IDCJAC0016,061428,2017,07,05,11.8
IDCJAC0016,061428,2017,07,06,11.8
IDCJAC0016,061428,2017,07,07,11.8
IDCJAC0016,061428,2017,07,08,11.7
IDCJAC0016,061428,2017,07,09,11.9
IDCJAC0016,061428,2017,07,10,11.8
IDCJAC0016,061428,2017,07,11,10.7
IDCJAC0016,061428,2017,07,12,8.7
IDCJAC0016,061428,2017,07,13,12.0
IDCJAC0016,061428,2017,07,14,10.7
IDCJAC0016,061428,2017,07,15,7.9
IDCJAC0016,061428,2017,07,16,12.2
IDCJAC0016,061428,2017,07,17,11.5
IDCJAC0016,061428,2017,07,18,12.4
IDCJAC0016,061428,2017,07,19,11.0
IDCJAC0016,061428,2017,07,20,12.6
IDCJAC0016,061428,2017,07,21,11.1
IDCJAC0016,061428,2017,07,22,12.7
IDCJAC0016,061428,2017,07,23,12.8
IDCJAC0016,061428,2017,07,24,12.9
IDCJAC0016,061428,2017,07,25,12.9
IDCJAC0016,061428,2017,07,26,11.0
IDCJAC0016,061428,2017,07,27,13.1
IDCJAC0016,061428,2017,07,28,11.7
IDCJAC0016,061428,2017,07,29,13.3
IDCJAC0016,061428,2017,07,30,9.8
IDCJAC0016,061428,2017,07,31,7.8
IDCJAC0016,061428,2017,08,01,13.7
IDCJAC0016,061428,2017,08,02,13.8
IDCJAC0016,061428,2017,08,03,13.1
IDCJAC0016,061428,2017,08,04,13.2
IDCJAC0016,061428,2017,08,05,14.0
IDCJAC0016,061428,2017,08,06,14.2
IDCJAC0016,061428,2017,08,07,14.1
IDCJAC0016,061428,2017,08,08,14.4
IDCJAC0016,061428,2017,08,09,14.5
IDCJAC0016,061428,2017,08,10,14.6
IDCJAC0016,061428,2017,08,11,14.6
IDCJAC0016,061428,2017,08,12,14.3
IDCJAC0016,061428,2017,08,13,15.0
IDCJAC0016,061428,2017,08,14,14.9
IDCJAC0016,061428,2017,08,15,6.7
IDCJAC0016,061428,2017,08,16,14.9
IDCJAC0016,061428,2017,08,17,15.5
IDCJAC0016,061428,2017,08,18,14.5
IDCJAC0016,061428,2017,08,19,14.7
IDCJAC0016,061428,2017,08,20,11.2
IDCJAC0016,061428,2017,08,21,7.2
IDCJAC0016,061428,2017,08,22,16.2
IDCJAC0016,061428,2017,08,23,16.3
IDCJAC0016,061428,2017,08,24,15.2
IDCJAC0016,061428,2017,08,25,12.0
IDCJAC0016,061428,2017,08,26,16.4
IDCJAC0016,061428,2017,08,27,16.7
IDCJAC0016,061428,2017,08,28,12.0
IDCJAC0016,061428,2017,08,29,14.5
IDCJAC0016,061428,2017,08,30,16.9
IDCJAC0016,061428,2017,08,31,15.7
IDCJAC0016,061428,2017,09,01,16.2
IDCJAC0016,061428,2017,09,02,18.0
IDCJAC0016,061428,2017,09,03,16.7
IDCJAC0016,061428,2017,09,04,18.2
IDCJAC0016,061428,2017,09,05,18.3
IDCJAC0016,061428,2017,09,06,18.5
IDCJAC0016,061428,2017,09,07,18.5
IDCJAC0016,061428,2017,09,08,18.3
IDCJAC0016,061428,2017,09,09,18.8
IDCJAC0016,061428,2017,09,10,17.5
